Open,High,Low,Close
153.988327,154.938126,150.386948,152.098587
148.803925,150.861862,140.73053,142.066193
143.461227,145.370758,138.959518,140.710739
139.503677,140.849243,132.874786,137.396286
136.080399,143.134735,134.23024,142.442169
144.450623,146.429398,139.51358,140.384232
141.482452,143.856995,140.364456,142.778564
142.669724,143.461227,135.763794,136.456375
132.577972,134.259933,130.233124,133.013306
133.577255,136.11998,125.404907,133.221069
131.638046,136.139771,131.400604,133.834488
135.546127,137.327026,131.984329,132.5186
133.567352,136.911484,133.280441,136.100189
137.307236,138.989197,134.655685,135.180054
135.96167,140.295197,135.546127,139.137604
140.493073,142.867599,140.107208,140.789886
141.383514,142.452057,139.206863,140.463394
139.305801,140.374344,136.021042,138.474716
140.493073,141.423096,138.820999,139.51358
138.316422,140.869034,137.524902,138.454926
136.931274,138.18779,133.567352,135.437302
136.139771,136.139771,130.866333,132.063492
131.588577,142.600464,131.588577,140.73053
142.471848,159.805923,142.471848,157.916183
160.280823,161.062439,157.352234,160.132416
160.063156,164.179016,158.13385,160.874466
161.863846,161.863846,156.659668,157.164261
158.302048,161.68576,156.946594,157.837036
155.333893,155.333893,150.980576,153.562881
153.948746,156.877335,153.444153,154.097153
154.344498,154.89856,151.722626,152.44487
152.959351,154.156509,150.159393,150.565033
149.397568,153.493622,148.803925,152.187637
152.959351,155.99678,152.781265,155.541656
156.283707,157.461075,153.948746,154.443436
154.878769,156.125397,153.196808,154.40387
153.454056,155.620804,153.355118,155.066757
153.75087,154.987595,150.109924,150.426529
150.386948,152.059021,145.637894,146.290878
147.418793,149.001801,141.334045,143.500809
144.747437,149.753738,144.134018,148.358704
149.021591,150.28801,145.449905,146.548126
147.399002,150.3078,146.548126,149.585541
149.991196,151.673157,148.64563,149.931824
150.386948,154.344498,150.386948,153.879486
154.967819,155.927521,149.595444,154.631424
155.314102,155.511978,152.068909,153.18692
153.345215,157.906296,153.25618,157.381927
157.510544,157.70842,152.246994,153.958633
155.333893,161.141602,154.344498,160.211563
160.270935,160.270935,153.968536,154.552277
154.938126,155.670273,150.604614,153.295746
154.344498,157.787567,152.761475,153.424377
153.355118,156.214447,153.216599,155.284424
151.623688,154.24556,151.059738,153.513412
153.75087,158.074493,153.75087,156.788284
157.154358,160.676575,153.384796,160.162094
159.667404,169.125961,158.499924,165.55426
165.821396,167.899109,163.743683,167.097702
167.602295,170.333008,165.227768,168.354233
168.057419,169.145737,166.820679,167.513245
164.258163,166.988876,138.514297,162.566315
164.218597,168.176147,162.922501,166.721741
167.800171,173.835434,167.206543,172.667969
172.351364,174.666519,167.730911,169.076492
169.986725,172.054535,165.841187,166.652481
162.259598,166.533752,159.558578,165.19809
165.227768,165.227768,159.5289,160.963501
159.251862,159.251862,150.010986,150.931107
156.719025,161.66597,151.485168,160.993195
161.586823,162.061722,156.966385,158.282257
157.332458,160.656799,156.620087,158.826431
160.270935,165.603729,160.112625,164.40657
164.63414,165.227768,160.399551,161.517563
159.687195,159.687195,153.275955,156.164978
157.312668,157.312668,151.415909,152.830734
151.376343,151.376343,139.909332,141.462677
142.076096,144.905746,137.594162,140.869034
136.535522,141.343948,133.864166,140.463394
142.471848,146.310669,138.910049,139.889542
138.316422,138.395569,132.577972,133.260651
133.567352,141.264786,133.567352,140.394135
139.91922,148.408173,139.394852,146.775681
150.386948,153.09787,146.93399,148.309235
149.179901,151.237823,146.627274,149.397568
148.032211,150.070343,142.580673,143.45134
145.440002,148.378494,143.678894,147.646347
149.397568,152.761475,149.397568,151.821564
151.910599,153.523315,149.516281,152.682327
149.595444,149.595444,144.925522,145.85556
145.83577,149.694382,144.648499,145.598312
145.440002,147.359421,143.105057,144.064758
146.162262,150.87175,144.450623,150.208862
152.266785,152.939575,149.921936,151.356552
151.969971,152.919785,149.22937,150.436417
150.584824,152.167847,148.289444,150.327591
151.376343,155.927521,151.376343,154.413757
155.136017,159.390381,153.355118,158.737381
159.291443,160.676575,156.916916,158.658234
160.082947,162.922501,159.311234,159.746552
160.181885,160.181885,156.639877,157.837036
156.343063,159.667404,155.937408,156.531052
156.778397,157.866714,154.690781,155.373459
155.373459,156.125397,151.52475,152.148056
152.365723,157.085098,152.365723,156.174866
156.125397,156.125397,151.673157,152.553711
150.436417,154.710571,150.14949,154.047684
153.909164,154.364288,150.614502,150.931107
152.365723,153.523315,150.980576,151.653366
151.36644,154.295029,150.208862,151.020157
151.36644,152.721909,150.584824,151.95018
151.673157,152.345932,148.091568,148.596161
150.386948,151.594009,149.328308,149.625122
150.584824,152.860413,150.189072,152.504242
153.75087,156.956482,152.820847,156.352951
156.521149,159.232071,155.83847,158.678024
159.687195,161.230637,157.312668,158.302048
158.302048,160.676575,156.521149,160.181885
160.280823,165.395966,160.073059,164.713287
163.644745,165.010101,162.487167,163.30835
164.040497,164.832016,160.082947,160.884354
161.863846,163.427078,161.547241,162.328857
162.061722,166.217148,161.270218,165.62352
166.63269,167.592407,164.515411,165.900543
166.415039,166.454605,161.883636,162.497055
162.457474,167.790283,162.457474,167.117493
166.612915,169.877884,166.612915,169.145737
169.402985,172.005066,167.28569,171.500488
